url,price,rooms,area_m2,floor,district,build_type,renovation,bathroom,heating,condition,techpassport
https://somon.tj/adv/15295800_3-komn-kvartira-12-etazh-91-m2-sino-102-mkr/,899000,3,91.0,12,Сино 102 мкр,Новостройка,Новый ремонт,Раздельный,Есть,Построено,Есть
https://somon.tj/adv/15297477_2-komn-kvartira-6-etazh-58-m2-buston-siti-gulia-gold/,1023000,2,58.0,6,Бустон Сити (Гуля Голд),Новостройка,Новый ремонт,Совмещенный,Есть,Построено,Есть
https://somon.tj/adv/14748152_3-komn-kvartira-9-etazh-78-m2-n-shokhmansur/,565000,3,78.0,9,Шоҳмансур,Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Нет
https://somon.tj/adv/15279785_2-komn-kvartira-5-etazh-65-m2-20-mkr/,820000,2,65.0,5,20 мкр,Новостройка,Новый ремонт,Совмещенный,Нет,Построено,Нет
https://somon.tj/adv/15284120_2-komn-kvartira-6-etazh-60-m2-rudaki-leninskii-raion/,440000,2,60.0,6,Ленинский район,Новостройка,Новый ремонт,Совмещенный,Нет,Построено,Есть
https://somon.tj/adv/15104327_4-komn-kvartira-4-etazh-100-m2-112mkr-102mkr-maschiti-mekhkalon-sino/,1088000,4,100.0,4,112мкр 102мкр Масчити Мехкалон Сино,Вторичный рынок,С ремонтом,Раздельный,Есть,Построено,Есть
https://somon.tj/adv/15086099_3-komn-kvartira-11-etazh-90-m2-sultoni-kabir-iuzhnyi/,1088000,3,90.0,11,"Султони Кабир, Южный",Новостройка,Новый ремонт,Совмещенный,Есть,Построено,Нет
https://somon.tj/adv/15170358_3-komn-kvartira-11-etazh-101-m2-n-firdavsi/,1385000,3,101.0,11,чоррохаи Чал- Чам,Новостройка,Новый ремонт,Раздельный,Есть,Построено,Нет
https://somon.tj/adv/15298903_2-komn-kvartira-2-etazh-61-m2-somoni/,629900,2,61.0,2,Сомони,Новостройка,Без ремонта (коробка),Совмещенный,Есть,Построено,Нет
https://somon.tj/adv/14910222_1-komn-kvartira-7-etazh-52-m2-shokhmansur/,693000,2,75.0,1,Чордома шохмансур,Новостройка,Без ремонта (коробка),Раздельный,Есть,Построено,Нет
https://somon.tj/adv/15207458_2-komn-kvartira-3-etazh-74-m2-shokhmansur-chordoma/,685000,2,74.0,3,"Шохмансур,Чордома",Новостройка,Без ремонта (коробка),Раздельный,Есть,Построено,Нет
https://somon.tj/adv/14825260_2-komn-kvartira-10-etazh-86-m2-ashan/,585000,2,86.0,10,Ашан,Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Нет
https://somon.tj/adv/13975086_2-komn-kvartira-9-etazh-70-m2-shokhmansur/,455000,1,67.0,12,"Чордома, Шохмансур",Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Нет
https://somon.tj/adv/14944911_2-komn-kvartira-4-etazh-99-m2-chordoma-shokhmansur/,811000,2,90.0,1,Чордома,Новостройка,Без ремонта (коробка),Раздельный,Есть,Построено,Нет
https://somon.tj/adv/14823484_2-komn-kvartira-3-etazh-94-m2-32-mkrn/,449500,2,94.0,3,32 мкр,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Нет
https://somon.tj/adv/15212886_3-komn-kvartira-9-etazh-123-m2-rynok-panchshanbe/,663000,3,123.0,9,рынок панчшанбе,Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Нет
https://somon.tj/adv/14982074_2-komn-kvartira-13-etazh-61-m2-sino/,695000,2,61.0,13,Фирдавси,Новостройка,Новый ремонт,Раздельный,Есть,Построено,Есть
https://somon.tj/adv/15281342_2-komn-kvartira-2-etazh-60-m2-n-sino/,780000,2,60.0,2,н. Сино,Новостройка,Новый ремонт,Раздельный,Есть,Построено,Нет
https://somon.tj/adv/15291836_2-komn-kvartira-8-etazh-96-m2-103-mk-siraiiion/,1350000,2,96.0,8,103 мкр,Новостройка,Новый ремонт,Раздельный,Есть,Построено,Есть
https://somon.tj/adv/14991641_3-komn-kvartira-11-etazh-82-m2-shokhmansur/,1055000,3,82.0,11,Шохмансур,Новостройка,Новый ремонт,Раздельный,Есть,Построено,Есть
https://somon.tj/adv/15043078_2-komn-kvartira-11-etazh-62-m2-shokhmansur/,895000,2,62.0,11,Шохмансур,Новостройка,Новый ремонт,Раздельный,Есть,Построено,Нет
https://somon.tj/adv/14992317_1-komn-kvartira-8-etazh-55-m2-vodonasos-severnyi-selkhoz-donishgokhi-agrari/,599000,1,58.0,8,"И. Сомони, Водонасос, Северный, Рудаки, сельхоз",Новостройка,Без ремонта (коробка),Раздельный,Есть,Построено,Нет
https://somon.tj/adv/15207601_1-komn-kvartira-4-etazh-67-m2-voennyi-kollech-104-mkr/,436000,1,67.0,4,"Военный коллеч,104 мкр",Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Нет
https://somon.tj/adv/14925688_1-komn-kvartira-5-etazh-46-m2-chordoma-shokhmansur/,389000,1,50.0,5,"Чор-дома, Шохмансур",Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Нет
