price,rooms,area_m2,floor,district,build_type,renovation,bathroom,heating,condition,techpassport
105000,1,32,2,Другое,Вторичный рынок,Новый ремонт,Раздельный,Нет,Построено,Есть
110000,2,40,3,Другое,Вторичный рынок,Без ремонта (коробка),Совмещенный,Нет,Построено,Есть
115000,3,9,1,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Есть
120000,2,6,1,И. Сомони,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Есть
125000,1,25,8,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
125000,1,25,8,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,Построено,Нет
132000,2,60,15,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Есть,На стадии строительства,Нет
135000,2,25,2,Другое,Вторичный рынок,Без ремонта (коробка),Раздельный,Нет,Построено,Есть
138180,2,70,16,Другое,Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Есть
140000,3,60,8,Другое,Новостройка,Без ремонта (коробка),Раздельный,Есть,Построено,Нет
140000,1,35,9,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Нет
145000,2,52,6,И. Сомони,Новостройка,Без ремонта (коробка),Совмещенный,Нет,Построено,Есть
145000,1,47,10,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
145000,1,42,8,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
150000,1,41,7,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
150000,4,74,1,Другое,Вторичный рынок,С ремонтом,Раздельный,Нет,Построено,Есть
150000,1,41,7,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
153000,1,38,10,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
153000,1,38,9,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
155000,1,38,3,Другое,Вторичный рынок,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
160000,1,40,1,Сино,Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Нет
160000,2,50,9,И. Сомони,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
160000,1,42,5,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
160000,1,53,9,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
160000,2,50,9,И. Сомони,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
160000,2,50,8,Другое,Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Есть
160000,1,40,1,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
160000,1,53,9,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
160000,1,36,6,И. Сомони,Новостройка,Без ремонта (коробка),Совмещенный,Нет,Построено,Есть
162000,1,41,9,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
163000,1,42,9,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
165000,1,39,2,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
165000,2,41,8,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
165000,1,36,2,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
165000,1,42,7,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
165000,1,42,7,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Нет
165000,1,41,8,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
165000,1,43,8,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Есть
167000,1,48,16,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Есть,На стадии строительства,Нет
168000,3,80,5,Другое,Вторичный рынок,С ремонтом,Раздельный,Нет,Построено,Есть
168000,1,40,3,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
170000,1,48,9,Сино,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
170000,1,48,4,И. Сомони,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
170000,1,30,6,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Есть
170000,1,42,10,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
170000,1,39,12,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,Построено,Есть
